校下・地区,センター,燃やすごみ,燃やさないごみ,資源,あきびん
宮河内ハイランド南	
宮谷	
陽光台	
若葉台	
戸次,東部清掃事業所,火 金,木3,木2 木4,水1
上り尾	
大内	
大塔	
尾津留	
影ノ木	
川床	
川原	
楠木生	
けやき台1丁目	
けやき台2丁目	
けやき台3丁目	
けやき台4丁目	
佐柳	
利光	
備後	
戸次本町	
美園	
嶺	
門前	
判田,東部清掃事業所,火 金,月1,月2 月4,水3
板山・小岳	
片野・大興寺・居村	
昆布刈	
庄屋村	
住床	
高江	
高江北	
高江中央1丁目	
高江中央2丁目	
高江南1丁目	
高江南2丁目	
高江南3丁目	
立小野	
辰口	
つつじケ丘	
豊田	
西新川	
判田台北・東	
判田台南	
東新川	
ひばりケ丘	
光永・戸無瀬	
宮ノ原・中ノ原	
米良	
米良の一部(安田)	
百木	
竹中,東部清掃事業所,火 金,木2,木1 木3,水4
伊与床	
岩上	
樫原	
上竹中	
上冬田	
河原	
黒仁田	
佐渡川	
下竹中	
高城	
中竹中	
中野	
中無礼	
花香	
舟戸	
冬田	
弓立・黒岩	
吉野,東部清掃事業所,火 金,水1,月2 月4,水3
梅が丘	
奥	
上志津留
下志津留	
杉原	
月形	
辻	
萩尾	
福良	
宮尾	
吉野原	
ロングヒル中央	
稙田,東部清掃事業所,月 木,金3,金2 金4,水1
露	
粟野	
市	
内稙田	
雄城	
雄城台住宅地	
雄城台団地	
小野鶴新町	
大柳	
カームタウン木ノ上	
上芹	
木上	
木上新町	
木上団地	
口戸	
桑本	
胡麻鶴	
下芹	
田島	
田原	
田原住宅	
塚野	
野添	
平野	
萌葱台	
宗方,東部清掃事業所,火 金,月3,月2 月4,水1
小野鶴市営住宅	
上小野鶴	
上宗方	
下小野鶴	
下宗方	
椿ケ丘	
二豊	
八幡田	
松が丘一丁目	
松が丘二丁目	
松が丘三丁目	
松が丘四丁目	
宗方台	
横瀬,東部清掃事業所,月 木,金4,火1 火3,水2
鬼崎	
上横瀬	
下横瀬	
富士見が丘西1丁目	
富士見が丘西2丁目	
富士見が丘西3丁目	
富士見が丘西4丁目	
富士見が丘東1丁目	
富士見が丘東2丁目	
富士見が丘東3丁目	
富士見が丘東4丁目	
富士見が丘東5丁目	
緑が丘一	
緑が丘二	
緑が丘三	
東稙田,東部清掃事業所,火 金,水2,木1 木3,水4
秋岡	
石川	
岡	
グランビュー光吉	
小原団地	
高城	
田尻	
田尻グリーンハイツ北	
田尻グリーンハイツ中央	
田尻グリーンハイツ西	
田尻グリーンハイツ東	
田尻南1丁目	
田尻南2丁目	
天領ハイツ	
仲村	
ふじが丘北	
ふじが丘西	
ふじが丘東	
ふじが丘南	
ふじが丘山手区	
光吉	
光吉新町	
光吉台	
蕨野	
寒田,東部清掃事業所,火 金,月3,月2 月4
美し野	
大分大学寒田宿舎	
小原	
サントピア西寒多	
サントピア藤美園	
スカイタウン寒田	
寒田	
寒田北町	
寒田北町4丁目	
寒田御苑	
寒田ささむた苑	
寒田西町	
寒田南町	
寒田南町1丁目	
寒田南町3丁目	
寒田わかば台	
旦野原	
宮崎	
宮崎台	
敷戸,東部清掃事業所,火 金,水2,月2 月4,水1
敷戸上東	
敷戸北	
敷戸台	
敷戸西	
敷戸東	
敷戸南	
星和台	
芳河原台	
鴛野,東部清掃事業所,火 金,木3,木2 木4,水1
大分大学区	
大園	
鴛野	
坂詰	
サンシャインしきど	
敷戸	
敷戸駅北町	
敷戸新町1区	
敷戸新町2区	
敷戸新町3区	
高江ハイツ	
旦野原ハイツ西	
旦野原ハイツ東	
田園町	
東木	
花の木坂	
賀来,東部清掃事業所,月 木,火4,火1 火3,水2
カームタウン野田	
上片面	
車木	
桑原	
国分一	
国分二	
国分三	
国分新町	
国分台	
国分団地	
下片面	
東院	
東野台	
中尾	
中島	
野田	
平横瀬	
宮苑	
餅田	
森ノ木	
脇	
大在,東部清掃事業所,月 木,水4,火1 火3,水2
曙台	
大在浜	
上志村	
北	
汐見	
下志村	
城原	
角子原	
望みが丘	
平野	
政所	
横田	
横塚	
坂ノ市,東部清掃事業所,月 木,水4,金1 金3,水2
市西	
駅通り	
尾田	
上市	
木田西部	
木田東部	
木田南部	
久原内久原	
久原上津	
久原松崎	
倉掛	
浜中	
東上野西部	
東上野中央	
東上野東部	
東本町	
細西部	
細東部	
細八丸	
小佐井,東部清掃事業所,月 木,水3,金2 金4,水1
旭社宅	
市尾上	
市尾下	
王ノ瀬	
川南	
里中	
宮下	
屋山	
丹生,東部清掃事業所,月 木,水1,火2 火4,水3
一木	
延命寺	
上久所	
久土	
佐野	
佐野上	
下久所	
丹生	
野間	
本神崎,佐賀関支所,火 金,水4,木1 木3,水2
駅	
大平	
河内	
小猫	
中	
中の原	
中山	
馬場	
東上	
東下	
湊	
木佐上,佐賀関支所,月 木,金1,金2 金4,水3
木佐上1	
木佐上2	
木佐上3	
木佐上4	
木佐上5	
大志生木,佐賀関支所,火 金,木1,木2 木4,水3
大志生木1	
大志生木2	
大志生木3	
大志生木4	
大志生木5	
小志生木	
関,佐賀関支所,火 金,月4,月1 月3,水2
秋の江	
黒砂	
大黒	
小浜	
金山	
神山	
辛幸1	
辛幸2	
幸の浦	
小黒	
佐賀関H25住宅	
迫	
汐見	
白木奥	
白木浜	
田尻	
田中1	
田中2	
田中3	
玉井	
辻	
鮮浜	
西町	
西脇	
日鉱住宅	
東町	
福水	
古宮	
古屋敷	
本町	
真砂	
見尾	
緑ケ丘	
御幸	
室生	
一尺屋,佐賀関支所,月 木,水2,金1 金3,水4
江川,佐賀関支所,月 木,水2,金1 金3,水4
笠方,佐賀関支所,月 木,水2,金1 金3,水4
下河原,佐賀関支所,月 木,水2,金1 金3,水4
田ノ浦西,佐賀関支所,月 木,水2,金1 金3,水4
田ノ浦東,佐賀関支所,月 木,水2,金1 金3,水4
中上,佐賀関支所,月 木,水2,金1 金3,水4
中江川,佐賀関支所,月 木,水2,金1 金3,水4
中下,佐賀関支所,月 木,水2,金1 金3,水4
西上,佐賀関支所,月 木,水2,金1 金3,水4
西下,佐賀関支所,月 木,水2,金1 金3,水4
早出,佐賀関支所,月 木,水2,金1 金3,水4
浜方,佐賀関支所,月 木,水2,金1 金3,水4
東上,佐賀関支所,月 木,水2,金1 金3,水4
東下,佐賀関支所,月 木,水2,金1 金3,水4
	
東部,由布大分環境衛生組合,月 木,火1,火2 火4,水3
愛宕,由布大分環境衛生組合,月 木,火1,火2 火4,水3
入蔵,由布大分環境衛生組合,月 木,火1,火2 火4,水3
恵良,由布大分環境衛生組合,月 木,火1,火2 火4,水3
柿野,由布大分環境衛生組合,月 木,火1,火2 火4,水3
看大住宅,由布大分環境衛生組合,月 木,火1,火2 火4,水3
小屋鶴,由布大分環境衛生組合,月 木,火1,火2 火4,水3
新界,由布大分環境衛生組合,月 木,火1,火2 火4,水3
新川,由布大分環境衛生組合,月 木,火1,火2 火4,水3
新町,由布大分環境衛生組合,月 木,火1,火2 火4,水3
辻原,由布大分環境衛生組合,月 木,火1,火2 火4,水3
なゝせ,由布大分環境衛生組合,月 木,火1,火2 火4,水3
福宗一,由布大分環境衛生組合,月 木,火1,火2 火4,水3
福宗二,由布大分環境衛生組合,月 木,火1,火2 火4,水3
舟ヶ平,由布大分環境衛生組合,月 木,火1,火2 火4,水3
本町,由布大分環境衛生組合,月 木,火1,火2 火4,水3
廻栖,由布大分環境衛生組合,月 木,火1,火2 火4,水3
廻栖住宅,由布大分環境衛生組合,月 木,火1,火2 火4,水3
吉熊,由布大分環境衛生組合,月 木,火1,火2 火4,水3
	
中部,由布大分環境衛生組合,月 木,水3,金2 金4,水1
今畑,由布大分環境衛生組合,月 木,水3,金2 金4,水1
太田,由布大分環境衛生組合,月 木,水3,金2 金4,水1
岡倉,由布大分環境衛生組合,月 木,水3,金2 金4,水1
沢田,由布大分環境衛生組合,月 木,水3,金2 金4,水1
竹の内,由布大分環境衛生組合,月 木,水3,金2 金4,水1
田ノ口,由布大分環境衛生組合,月 木,水3,金2 金4,水1
長尾台,由布大分環境衛生組合,月 木,水3,金2 金4,水1
原村,由布大分環境衛生組合,月 木,水3,金2 金4,水1
日方羽原,由布大分環境衛生組合,月 木,水3,金2 金4,水1
矢ノ原,由布大分環境衛生組合,月 木,水3,金2 金4,水1
上詰,由布大分環境衛生組合,月 木,水3,金2 金4,水1
下詰,由布大分環境衛生組合,月 木,水3,金2 金4,水1
湛水,由布大分環境衛生組合,月 木,水3,金2 金4,水1
西部,由布大分環境衛生組合,月 木,水3,火2 火4,水1
上詰,由布大分環境衛生組合,月 木,水3,火2 火4,水1
下詰,由布大分環境衛生組合,月 木,水3,火2 火4,水1
湛水,由布大分環境衛生組合,月 木,水3,火2 火4,水1
